Type;Time;Party;Equipment Number;Charge Type;Friendly Fire;Properties;Stream Name;Vulnerability State;Marker Note;Operator;Originator Equipment Number
Hit;2023-05-23T03:43:16.601;BLUE;1511;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1346
Hit;2023-05-23T03:41:36.030;BLUE;1381;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1346
Hit;2023-05-23T03:36:33.289;BLUE;1364;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1346
Hit;2023-05-23T03:36:27.906;BLUE;1364;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1346
Hit;2023-05-23T03:34:30.112;BLUE;1347;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1550
Hit;2023-05-23T03:14:34.896;BLUE;1074;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1547
Hit;2023-05-23T02:00:12.948;Party 3;1646;;;Unknow;;Catastrophic kill;;unknown;
Hit;2023-05-23T01:59:57.649;Party 3;1646;;;Unknow;;Catastrophic kill;;unknown;
Hit;2023-05-23T01:59:42.065;Party 3;1646;;;Unknow;;Heavy damage;;unknown;
Hit;2023-05-23T01:59:39.742;Party 3;1646;;;Unknow;;Medium damage;;unknown;
Hit;2023-05-23T01:59:27.729;Party 3;1646;;;Unknow;;Light damage;;unknown;
Hit;2023-05-22T05:52:44.000;BLUE;1511;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1488
Hit;2023-05-22T05:52:18.792;BLUE;1511;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1502
Hit;2023-05-22T05:51:41.851;BLUE;1511;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1502
Hit;2023-05-22T05:51:12.596;BLUE;1511;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1502
Hit;2023-05-22T05:50:21.497;RED;1624;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1502
Hit;2023-05-22T05:49:48.506;RED;1624;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1488
Hit;2023-05-22T05:47:47.891;RED;1624;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1511
Hit;2023-05-22T05:47:24.472;RED;1624;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1502
Hit;2023-05-22T05:46:31.204;RED;1624;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1488
Hit;2023-05-22T05:45:58.970;RED;1624;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1488
Hit;2023-05-21T08:19:44.105;BLUE;1488;;;Unknow;;Catastrophic kill;;unknown;
Hit;2023-05-21T05:10:00.667;RED;1628;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1619
Hit;2023-05-21T05:08:17.886;RED;1619;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1628
Hit;2023-05-21T02:37:48.982;Party 3;1648;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1488
Hit;2023-05-21T02:37:43.983;Party 3;1648;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1488
Hit;2023-05-21T02:36:43.978;Party 3;1648;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1488
Hit;2023-05-21T02:36:34.240;Party 3;1648;ARX-160 (DF);No;Unknow;;Medium damage;;unknown;1488
Hit;2023-05-18T08:46:06.670;RED;1605;;;Unknow;;Catastrophic kill;;unknown;
Hit;2023-05-18T08:46:06.307;BLUE;1526;;;Unknow;;Catastrophic kill;;unknown;
Hit;2023-05-18T06:36:18.608;BLUE;1349;;;Unknow;;Catastrophic kill;;unknown;
